,101st,13th,AARB,ASIM,AASG,AF,1st,AFB,ANF,ASL,ATB,ADF,AASB,FKUG,ARC,Hazm,ISIL,JAI,JMA,JAA,LF,LH,MSC,NADAZM,SAS,SRF,FSIM,AIG,IARB,ASB,AALS
101st,NA,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0
13th,1,NA,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1
AARB,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ASIM,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AASG,0,1,1,1,NA,0,0,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
AF,1,1,1,1,0,NA,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1
1st,1,0,1,1,0,1,NA,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1
AFB,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ANF,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ASL,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ATB,1,1,1,1,0,1,1,1,1,1,NA,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1
ADF,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AASB,1,1,1,1,0,1,1,1,1,1,1,1,NA,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1
FKUG,1,1,1,1,0,1,1,1,1,1,1,1,1,NA,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1
ARC,0,0,1,1,1,0,0,1,1,1,0,1,0,0,NA,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0
Hazm,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ISIL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1
JAI,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1
JMA,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,NA,1,1,1,0,1,1,1,1,0,1,0,1
JAA,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,NA,1,1,0,1,1,1,1,0,1,0,1
LF,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,NA,0,0,1,1,1,1,0,1,0,1
LH,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,NA,0,1,1,1,0,0,1,0,0
MSC,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,1,0,0,0,0,NA,0,0,0,0,0,0,0,0
NADAZM,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,NA,1,1,1,0,1,0,1
SAS,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,NA,1,1,0,1,0,1
SRF,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,NA,1,0,1,0,1
FSIM,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,NA,0,1,0,1
AIG,0,0,1,1,1,0,0,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,0,1,0
IARB,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,NA,0,1
ASB,0,0,1,1,0,0,0,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,NA,0
AALS,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,NA